temp,month,station_id
869S,Jan,FMW00040308
870S,Feb,FMW00040308
877S,Mar,FMW00040308
885S,Apr,FMW00040308
887S,May,FMW00040308
880S,Jun,FMW00040308
875S,Jul,FMW00040308
872S,Aug,FMW00040308
876S,Sep,FMW00040308
881S,Oct,FMW00040308
880S,Nov,FMW00040308
873S,Dec,FMW00040308
868C,Jan,FMW00040504
871C,Feb,FMW00040504
876C,Mar,FMW00040504
878C,Apr,FMW00040504
880C,May,FMW00040504
881C,Jun,FMW00040504
886C,Jul,FMW00040504
892C,Aug,FMW00040504
893C,Sep,FMW00040504
893C,Oct,FMW00040504
888C,Nov,FMW00040504
875C,Dec,FMW00040504
855S,Jan,FMW00040505
857S,Feb,FMW00040505
861S,Mar,FMW00040505
864S,Apr,FMW00040505
869S,May,FMW00040505
867S,Jun,FMW00040505
866S,Jul,FMW00040505
865S,Aug,FMW00040505
866S,Sep,FMW00040505
868S,Oct,FMW00040505
868S,Nov,FMW00040505
861S,Dec,FMW00040505
828P,Jan,GQC00914025
827P,Feb,GQC00914025
835P,Mar,GQC00914025
848P,Apr,GQC00914025
857P,May,GQC00914025
861P,Jun,GQC00914025
853P,Jul,GQC00914025
852P,Aug,GQC00914025
855P,Sep,GQC00914025
853P,Oct,GQC00914025
844P,Nov,GQC00914025
835P,Dec,GQC00914025
849C,Jan,GQW00041415
849C,Feb,GQW00041415
858C,Mar,GQW00041415
873C,Apr,GQW00041415
879C,May,GQW00041415
879C,Jun,GQW00041415
871C,Jul,GQW00041415
865C,Aug,GQW00041415
867S,Sep,GQW00041415
868S,Oct,GQW00041415
865C,Nov,GQW00041415
856C,Dec,GQW00041415
832P,Jan,JQW00021603
834P,Feb,JQW00021603
837P,Mar,JQW00021603
847P,Apr,JQW00021603
859P,May,JQW00021603
875P,Jun,JQW00021603
883P,Jul,JQW00021603
889P,Aug,JQW00021603
887P,Sep,JQW00021603
875P,Oct,JQW00021603
853P,Nov,JQW00021603
839P,Dec,JQW00021603
862P,Jan,PSC00914519
861P,Feb,PSC00914519
867P,Mar,PSC00914519
881P,Apr,PSC00914519
879P,May,PSC00914519
869P,Jun,PSC00914519
862P,Jul,PSC00914519
863P,Aug,PSC00914519
870P,Sep,PSC00914519
867P,Oct,PSC00914519
873P,Nov,PSC00914519
870P,Dec,PSC00914519
823P,Jan,PSC00914712
819P,Feb,PSC00914712
828P,Mar,PSC00914712
840P,Apr,PSC00914712
838P,May,PSC00914712
828P,Jun,PSC00914712
828P,Jul,PSC00914712
831P,Aug,PSC00914712
837P,Sep,PSC00914712
840P,Oct,PSC00914712
843P,Nov,PSC00914712
830P,Dec,PSC00914712
865S,Jan,PSW00040309
864S,Feb,PSW00040309
871S,Mar,PSW00040309
878S,Apr,PSW00040309
877S,May,PSW00040309
868S,Jun,PSW00040309
861S,Jul,PSW00040309
860S,Aug,PSW00040309
865S,Sep,PSW00040309
870S,Oct,PSW00040309
878S,Nov,PSW00040309
872S,Dec,PSW00040309
854C,Jan,RMW00040604
858S,Feb,RMW00040604
864S,Mar,RMW00040604
865S,Apr,RMW00040604
868S,May,RMW00040604
865S,Jun,RMW00040604
865S,Jul,RMW00040604
868S,Aug,RMW00040604
870S,Sep,RMW00040604
868C,Oct,RMW00040604
864C,Nov,RMW00040604
857S,Dec,RMW00040604
855C,Jan,RMW00040710
859C,Feb,RMW00040710
861C,Mar,RMW00040710
861C,Apr,RMW00040710
864C,May,RMW00040710
863C,Jun,RMW00040710
864S,Jul,RMW00040710
867S,Aug,RMW00040710
869S,Sep,RMW00040710
869S,Oct,RMW00040710
866S,Nov,RMW00040710
859C,Dec,RMW00040710
796S,Jan,RQC00660061
799C,Feb,RQC00660061
809C,Mar,RQC00660061
816S,Apr,RQC00660061
828C,May,RQC00660061
846C,Jun,RQC00660061
850C,Jul,RQC00660061
853C,Aug,RQC00660061
848C,Sep,RQC00660061
842C,Oct,RQC00660061
823C,Nov,RQC00660061
801S,Dec,RQC00660061
858S,Jan,RQC00660152
856S,Feb,RQC00660152
859S,Mar,RQC00660152
870S,Apr,RQC00660152
880S,May,RQC00660152
887S,Jun,RQC00660152
894S,Jul,RQC00660152
902S,Aug,RQC00660152
897S,Sep,RQC00660152
891S,Oct,RQC00660152
882S,Nov,RQC00660152
866S,Dec,RQC00660152
733R,Jan,RQC00660158
736R,Feb,RQC00660158
756R,Mar,RQC00660158
772R,Apr,RQC00660158
790R,May,RQC00660158
800R,Jun,RQC00660158
813R,Jul,RQC00660158
813R,Aug,RQC00660158
804R,Sep,RQC00660158
793R,Oct,RQC00660158
763R,Nov,RQC00660158
741R,Dec,RQC00660158
858R,Jan,RQC00660410
854R,Feb,RQC00660410
865R,Mar,RQC00660410
876R,Apr,RQC00660410
888R,May,RQC00660410
901R,Jun,RQC00660410
906R,Jul,RQC00660410
908R,Aug,RQC00660410
915R,Sep,RQC00660410
903R,Oct,RQC00660410
875R,Nov,RQC00660410
865R,Dec,RQC00660410
816S,Jan,RQC00660426
821S,Feb,RQC00660426
834C,Mar,RQC00660426
843C,Apr,RQC00660426
855S,May,RQC00660426
874S,Jun,RQC00660426
873S,Jul,RQC00660426
874S,Aug,RQC00660426
871S,Sep,RQC00660426
862S,Oct,RQC00660426
837S,Nov,RQC00660426
819S,Dec,RQC00660426
775R,Jan,RQC00661901
779R,Feb,RQC00661901
792R,Mar,RQC00661901
810R,Apr,RQC00661901
822R,May,RQC00661901
837R,Jun,RQC00661901
838R,Jul,RQC00661901
844R,Aug,RQC00661901
842R,Sep,RQC00661901
832R,Oct,RQC00661901
807R,Nov,RQC00661901
782R,Dec,RQC00661901
655R,Jan,RQC00662336
658R,Feb,RQC00662336
666R,Mar,RQC00662336
672R,Apr,RQC00662336
680R,May,RQC00662336
704R,Jun,RQC00662336
716S,Jul,RQC00662336
714S,Aug,RQC00662336
711R,Sep,RQC00662336
706R,Oct,RQC00662336
687R,Nov,RQC00662336
660R,Dec,RQC00662336
850S,Jan,RQC00662801
851S,Feb,RQC00662801
860S,Mar,RQC00662801
872S,Apr,RQC00662801
884S,May,RQC00662801
898S,Jun,RQC00662801
898S,Jul,RQC00662801
901S,Aug,RQC00662801
898S,Sep,RQC00662801
889S,Oct,RQC00662801
874S,Nov,RQC00662801
855S,Dec,RQC00662801
825S,Jan,RQC00662934
830R,Feb,RQC00662934
846S,Mar,RQC00662934
862R,Apr,RQC00662934
876S,May,RQC00662934
894S,Jun,RQC00662934
889R,Jul,RQC00662934
894S,Aug,RQC00662934
889S,Sep,RQC00662934
881R,Oct,RQC00662934
852S,Nov,RQC00662934
831R,Dec,RQC00662934
786R,Jan,RQC00663409
782P,Feb,RQC00663409
809R,Mar,RQC00663409
841R,Apr,RQC00663409
861R,May,RQC00663409
878R,Jun,RQC00663409
854R,Jul,RQC00663409
871R,Aug,RQC00663409
870R,Sep,RQC00663409
840R,Oct,RQC00663409
848R,Nov,RQC00663409
829R,Dec,RQC00663409
835S,Jan,RQC00663431
839S,Feb,RQC00663431
847S,Mar,RQC00663431
857S,Apr,RQC00663431
871S,May,RQC00663431
893S,Jun,RQC00663431
894S,Jul,RQC00663431
896S,Aug,RQC00663431
891S,Sep,RQC00663431
881S,Oct,RQC00663431
856S,Nov,RQC00663431
839S,Dec,RQC00663431
841R,Jan,RQC00663657
844R,Feb,RQC00663657
850R,Mar,RQC00663657
868R,Apr,RQC00663657
883R,May,RQC00663657
890R,Jun,RQC00663657
891R,Jul,RQC00663657
897R,Aug,RQC00663657
893R,Sep,RQC00663657
886R,Oct,RQC00663657
870R,Nov,RQC00663657
852R,Dec,RQC00663657
847R,Jan,RQC00664193
852R,Feb,RQC00664193
854R,Mar,RQC00664193
867S,Apr,RQC00664193
877R,May,RQC00664193
886R,Jun,RQC00664193
893R,Jul,RQC00664193
898S,Aug,RQC00664193
892S,Sep,RQC00664193
887S,Oct,RQC00664193
875R,Nov,RQC00664193
862R,Dec,RQC00664193
845S,Jan,RQC00664276
846S,Feb,RQC00664276
859S,Mar,RQC00664276
873S,Apr,RQC00664276
883S,May,RQC00664276
897S,Jun,RQC00664276
899S,Jul,RQC00664276
905S,Aug,RQC00664276
901S,Sep,RQC00664276
894S,Oct,RQC00664276
874S,Nov,RQC00664276
851S,Dec,RQC00664276
820S,Jan,RQC00664702
825S,Feb,RQC00664702
834S,Mar,RQC00664702
845S,Apr,RQC00664702
856S,May,RQC00664702
869S,Jun,RQC00664702
872S,Jul,RQC00664702
877S,Aug,RQC00664702
876S,Sep,RQC00664702
869C,Oct,RQC00664702
847S,Nov,RQC00664702
828S,Dec,RQC00664702
838S,Jan,RQC00665064
839S,Feb,RQC00665064
851S,Mar,RQC00665064
866S,Apr,RQC00665064
877S,May,RQC00665064
885S,Jun,RQC00665064
893C,Jul,RQC00665064
898C,Aug,RQC00665064
896S,Sep,RQC00665064
886S,Oct,RQC00665064
864S,Nov,RQC00665064
844S,Dec,RQC00665064
871R,Jan,RQC00665097
869C,Feb,RQC00665097
875C,Mar,RQC00665097
885C,Apr,RQC00665097
896C,May,RQC00665097
912C,Jun,RQC00665097
921S,Jul,RQC00665097
918C,Aug,RQC00665097
912S,Sep,RQC00665097
902C,Oct,RQC00665097
891C,Nov,RQC00665097
876S,Dec,RQC00665097
866R,Jan,RQC00665693
865R,Feb,RQC00665693
869R,Mar,RQC00665693
879R,Apr,RQC00665693
890R,May,RQC00665693
903S,Jun,RQC00665693
914R,Jul,RQC00665693
914R,Aug,RQC00665693
911R,Sep,RQC00665693
905R,Oct,RQC00665693
888R,Nov,RQC00665693
881R,Dec,RQC00665693
820S,Jan,RQC00665807
824R,Feb,RQC00665807
836R,Mar,RQC00665807
846R,Apr,RQC00665807
862S,May,RQC00665807
882S,Jun,RQC00665807
876S,Jul,RQC00665807
883S,Aug,RQC00665807
879S,Sep,RQC00665807
873S,Oct,RQC00665807
849S,Nov,RQC00665807
829R,Dec,RQC00665807
763R,Jan,RQC00665908
762R,Feb,RQC00665908
786R,Mar,RQC00665908
777R,Apr,RQC00665908
790R,May,RQC00665908
807R,Jun,RQC00665908
804R,Jul,RQC00665908
807R,Aug,RQC00665908
806R,Sep,RQC00665908
797R,Oct,RQC00665908
782R,Nov,RQC00665908
762R,Dec,RQC00665908
858R,Jan,RQC00666073
863S,Feb,RQC00666073
869S,Mar,RQC00666073
877S,Apr,RQC00666073
889R,May,RQC00666073
907R,Jun,RQC00666073
906R,Jul,RQC00666073
905R,Aug,RQC00666073
907R,Sep,RQC00666073
902S,Oct,RQC00666073
885S,Nov,RQC00666073
865R,Dec,RQC00666073
849R,Jan,RQC00666258
851S,Feb,RQC00666258
858S,Mar,RQC00666258
879S,Apr,RQC00666258
898S,May,RQC00666258
913R,Jun,RQC00666258
916S,Jul,RQC00666258
920S,Aug,RQC00666258
914R,Sep,RQC00666258
906R,Oct,RQC00666258
875R,Nov,RQC00666258
858R,Dec,RQC00666258
657R,Jan,RQC00666992
656R,Feb,RQC00666992
668R,Mar,RQC00666992
681R,Apr,RQC00666992
690R,May,RQC00666992
697R,Jun,RQC00666992
703R,Jul,RQC00666992
712R,Aug,RQC00666992
719R,Sep,RQC00666992
712R,Oct,RQC00666992
692R,Nov,RQC00666992
669R,Dec,RQC00666992
870C,Jan,RQC00667292
869C,Feb,RQC00667292
871C,Mar,RQC00667292
880C,Apr,RQC00667292
888S,May,RQC00667292
902C,Jun,RQC00667292
912C,Jul,RQC00667292
915C,Aug,RQC00667292
908C,Sep,RQC00667292
899C,Oct,RQC00667292
889S,Nov,RQC00667292
876C,Dec,RQC00667292
843Q,Jan,RQC00668126
848Q,Feb,RQC00668126
855Q,Mar,RQC00668126
860Q,Apr,RQC00668126
879Q,May,RQC00668126
889Q,Jun,RQC00668126
895Q,Jul,RQC00668126
892Q,Aug,RQC00668126
902Q,Sep,RQC00668126
886Q,Oct,RQC00668126
860Q,Nov,RQC00668126
844Q,Dec,RQC00668126
843R,Jan,RQC00668306
847R,Feb,RQC00668306
861R,Mar,RQC00668306
869R,Apr,RQC00668306
883R,May,RQC00668306
899R,Jun,RQC00668306
896R,Jul,RQC00668306
903R,Aug,RQC00668306
900R,Sep,RQC00668306
893R,Oct,RQC00668306
867R,Nov,RQC00668306
848R,Dec,RQC00668306
889R,Jan,RQC00668881
889R,Feb,RQC00668881
897R,Mar,RQC00668881
907R,Apr,RQC00668881
916R,May,RQC00668881
926R,Jun,RQC00668881
933R,Jul,RQC00668881
928R,Aug,RQC00668881
929R,Sep,RQC00668881
920R,Oct,RQC00668881
907R,Nov,RQC00668881
893R,Dec,RQC00668881
842S,Jan,RQC00669521
846S,Feb,RQC00669521
857S,Mar,RQC00669521
871S,Apr,RQC00669521
883S,May,RQC00669521
897S,Jun,RQC00669521
899S,Jul,RQC00669521
901C,Aug,RQC00669521
903S,Sep,RQC00669521
892S,Oct,RQC00669521
869S,Nov,RQC00669521
848S,Dec,RQC00669521
848R,Jan,RQC00669608
846R,Feb,RQC00669608
859R,Mar,RQC00669608
863R,Apr,RQC00669608
876R,May,RQC00669608
890R,Jun,RQC00669608
896R,Jul,RQC00669608
896R,Aug,RQC00669608
895R,Sep,RQC00669608
886R,Oct,RQC00669608
863R,Nov,RQC00669608
849R,Dec,RQC00669608
836R,Jan,RQW00011603
841R,Feb,RQW00011603
847S,Mar,RQW00011603
857S,Apr,RQW00011603
867R,May,RQW00011603
888R,Jun,RQW00011603
885R,Jul,RQW00011603
889R,Aug,RQW00011603
886R,Sep,RQW00011603
878R,Oct,RQW00011603
863R,Nov,RQW00011603
846R,Dec,RQW00011603
834R,Jan,RQW00011630
833R,Feb,RQW00011630
843R,Mar,RQW00011630
858R,Apr,RQW00011630
868R,May,RQW00011630
881R,Jun,RQW00011630
888R,Jul,RQW00011630
893R,Aug,RQW00011630
889R,Sep,RQW00011630
881R,Oct,RQW00011630
862R,Nov,RQW00011630
844R,Dec,RQW00011630
832C,Jan,RQW00011641
837C,Feb,RQW00011641
849C,Mar,RQW00011641
862C,Apr,RQW00011641
875C,May,RQW00011641
889C,Jun,RQW00011641
887C,Jul,RQW00011641
892C,Aug,RQW00011641
892C,Sep,RQW00011641
884C,Oct,RQW00011641
859C,Nov,RQW00011641
839C,Dec,RQW00011641
503Q,Jan,USC00010063
544Q,Feb,USC00010063
631Q,Mar,USC00010063
713Q,Apr,USC00010063
790Q,May,USC00010063
854Q,Jun,USC00010063
886Q,Jul,USC00010063
895Q,Aug,USC00010063
832Q,Sep,USC00010063
733Q,Oct,USC00010063
633Q,Nov,USC00010063
524Q,Dec,USC00010063
552C,Jan,USC00010160
593C,Feb,USC00010160
676C,Mar,USC00010160
748C,Apr,USC00010160
817C,May,USC00010160
877C,Jun,USC00010160
907S,Jul,USC00010160
899C,Aug,USC00010160
848S,Sep,USC00010160
760S,Oct,USC00010160
668C,Nov,USC00010160
573C,Dec,USC00010160
557R,Jan,USC00010178
604R,Feb,USC00010178
691R,Mar,USC00010178
767R,Apr,USC00010178
836R,May,USC00010178
902R,Jun,USC00010178
923R,Jul,USC00010178
923R,Aug,USC00010178
874R,Sep,USC00010178
776R,Oct,USC00010178
676R,Nov,USC00010178
583R,Dec,USC00010178
609S,Jan,USC00010252
652S,Feb,USC00010252
722S,Mar,USC00010252
783S,Apr,USC00010252
850S,May,USC00010252
900S,Jun,USC00010252
917S,Jul,USC00010252
911S,Aug,USC00010252
876S,Sep,USC00010252
799S,Oct,USC00010252
716S,Nov,USC00010252
629S,Dec,USC00010252
488Q,Jan,USC00010260
529Q,Feb,USC00010260
624Q,Mar,USC00010260
712Q,Apr,USC00010260
783Q,May,USC00010260
856Q,Jun,USC00010260
892Q,Jul,USC00010260
892Q,Aug,USC00010260
831Q,Sep,USC00010260
727Q,Oct,USC00010260
614Q,Nov,USC00010260
512Q,Dec,USC00010260
542S,Jan,USC00010369
586S,Feb,USC00010369
666S,Mar,USC00010369
740S,Apr,USC00010369
808S,May,USC00010369
869S,Jun,USC00010369
896S,Jul,USC00010369
894S,Aug,USC00010369
840S,Sep,USC00010369
751S,Oct,USC00010369
661S,Nov,USC00010369
563S,Dec,USC00010369
502R,Jan,USC00010390
550R,Feb,USC00010390
639R,Mar,USC00010390
726R,Apr,USC00010390
799R,May,USC00010390
867R,Jun,USC00010390
894R,Jul,USC00010390
899R,Aug,USC00010390
846R,Sep,USC00010390
738R,Oct,USC00010390
630R,Nov,USC00010390
529R,Dec,USC00010390
591S,Jan,USC00010402
633S,Feb,USC00010402
705S,Mar,USC00010402
773S,Apr,USC00010402
846S,May,USC00010402
895S,Jun,USC00010402
912S,Jul,USC00010402
906S,Aug,USC00010402
869S,Sep,USC00010402
788S,Oct,USC00010402
699S,Nov,USC00010402
612S,Dec,USC00010402
567R,Jan,USC00010425
617R,Feb,USC00010425
686R,Mar,USC00010425
754R,Apr,USC00010425
826R,May,USC00010425
881R,Jun,USC00010425
903R,Jul,USC00010425
892R,Aug,USC00010425
844R,Sep,USC00010425
754R,Oct,USC00010425
666R,Nov,USC00010425
579R,Dec,USC00010425
561R,Jan,USC00010430
604R,Feb,USC00010430
679R,Mar,USC00010430
746R,Apr,USC00010430
826R,May,USC00010430
883R,Jun,USC00010430
908R,Jul,USC00010430
898R,Aug,USC00010430
857R,Sep,USC00010430
768R,Oct,USC00010430
678R,Nov,USC00010430
582R,Dec,USC00010430
532C,Jan,USC00010505
579C,Feb,USC00010505
660C,Mar,USC00010505
741C,Apr,USC00010505
812C,May,USC00010505
882C,Jun,USC00010505
910C,Jul,USC00010505
907C,Aug,USC00010505
854C,Sep,USC00010505
754C,Oct,USC00010505
656C,Nov,USC00010505
555C,Dec,USC00010505
599S,Jan,USC00010583
636S,Feb,USC00010583
706S,Mar,USC00010583
771S,Apr,USC00010583
839S,May,USC00010583
885S,Jun,USC00010583
902S,Jul,USC00010583
900S,Aug,USC00010583
865S,Sep,USC00010583
783S,Oct,USC00010583
697S,Nov,USC00010583
617S,Dec,USC00010583
499S,Jan,USC00010655
544S,Feb,USC00010655
634S,Mar,USC00010655
723S,Apr,USC00010655
804S,May,USC00010655
876S,Jun,USC00010655
906S,Jul,USC00010655
908S,Aug,USC00010655
849S,Sep,USC00010655
745S,Oct,USC00010655
633S,Nov,USC00010655
526S,Dec,USC00010655
536S,Jan,USC00010764
584S,Feb,USC00010764
667S,Mar,USC00010764
746S,Apr,USC00010764
815S,May,USC00010764
880S,Jun,USC00010764
909S,Jul,USC00010764
908S,Aug,USC00010764
853S,Sep,USC00010764
751S,Oct,USC00010764
652S,Nov,USC00010764
557S,Dec,USC00010764
597S,Jan,USC00011080
635C,Feb,USC00011080
707C,Mar,USC00011080
773C,Apr,USC00011080
846S,May,USC00011080
895C,Jun,USC00011080
912C,Jul,USC00011080
908C,Aug,USC00011080
870S,Sep,USC00011080
788C,Oct,USC00011080
702C,Nov,USC00011080
617C,Dec,USC00011080
616C,Jan,USC00011084
656C,Feb,USC00011084
727S,Mar,USC00011084
788C,Apr,USC00011084
853C,May,USC00011084
900S,Jun,USC00011084
917S,Jul,USC00011084
913S,Aug,USC00011084
873S,Sep,USC00011084
795S,Oct,USC00011084
715C,Nov,USC00011084
633S,Dec,USC00011084
484S,Jan,USC00011099
534S,Feb,USC00011099
627S,Mar,USC00011099
718S,Apr,USC00011099
787S,May,USC00011099
856S,Jun,USC00011099
889S,Jul,USC00011099
883S,Aug,USC00011099
823S,Sep,USC00011099
721S,Oct,USC00011099
618S,Nov,USC00011099
512S,Dec,USC00011099
567R,Jan,USC00011301
614R,Feb,USC00011301
699R,Mar,USC00011301
770R,Apr,USC00011301
842R,May,USC00011301
896R,Jun,USC00011301
917R,Jul,USC00011301
914R,Aug,USC00011301
872R,Sep,USC00011301
777R,Oct,USC00011301
680R,Nov,USC00011301
591R,Dec,USC00011301
552R,Jan,USC00011324
603R,Feb,USC00011324
683R,Mar,USC00011324
755R,Apr,USC00011324
826R,May,USC00011324
882R,Jun,USC00011324
913R,Jul,USC00011324
908R,Aug,USC00011324
859R,Sep,USC00011324
762R,Oct,USC00011324
671R,Nov,USC00011324
579R,Dec,USC00011324
507Q,Jan,USC00011490
553Q,Feb,USC00011490
647Q,Mar,USC00011490
732Q,Apr,USC00011490
804Q,May,USC00011490
871Q,Jun,USC00011490
903Q,Jul,USC00011490
896Q,Aug,USC00011490
841Q,Sep,USC00011490
739Q,Oct,USC00011490
636Q,Nov,USC00011490
527Q,Dec,USC00011490
596R,Jan,USC00011566
637R,Feb,USC00011566
718R,Mar,USC00011566
791R,Apr,USC00011566
855R,May,USC00011566
905R,Jun,USC00011566
927R,Jul,USC00011566
921R,Aug,USC00011566
874R,Sep,USC00011566
794R,Oct,USC00011566
706R,Nov,USC00011566
620R,Dec,USC00011566
567S,Jan,USC00011620
611S,Feb,USC00011620
697S,Mar,USC00011620
767S,Apr,USC00011620
829S,May,USC00011620
888S,Jun,USC00011620
913S,Jul,USC00011620
909S,Aug,USC00011620
860S,Sep,USC00011620
771S,Oct,USC00011620
677S,Nov,USC00011620
586S,Dec,USC00011620
540R,Jan,USC00011694
586R,Feb,USC00011694
673R,Mar,USC00011694
746R,Apr,USC00011694
816S,May,USC00011694
874S,Jun,USC00011694
901S,Jul,USC00011694
897S,Aug,USC00011694
847S,Sep,USC00011694
752R,Oct,USC00011694
655R,Nov,USC00011694
562R,Dec,USC00011694
578S,Jan,USC00011725
624S,Feb,USC00011725
699S,Mar,USC00011725
767S,Apr,USC00011725
838S,May,USC00011725
891R,Jun,USC00011725
912R,Jul,USC00011725
906R,Aug,USC00011725
863S,Sep,USC00011725
780S,Oct,USC00011725
695R,Nov,USC00011725
603R,Dec,USC00011725
595R,Jan,USC00011803
629R,Feb,USC00011803
688R,Mar,USC00011803
751R,Apr,USC00011803
816R,May,USC00011803
862R,Jun,USC00011803
884R,Jul,USC00011803
883R,Aug,USC00011803
851R,Sep,USC00011803
779R,Oct,USC00011803
696R,Nov,USC00011803
618R,Dec,USC00011803
502R,Jan,USC00012096
539R,Feb,USC00012096
628R,Mar,USC00012096
711R,Apr,USC00012096
783R,May,USC00012096
852R,Jun,USC00012096
885R,Jul,USC00012096
884R,Aug,USC00012096
825R,Sep,USC00012096
728R,Oct,USC00012096
626R,Nov,USC00012096
520R,Dec,USC00012096
590C,Jan,USC00012172
616C,Feb,USC00012172
674S,Mar,USC00012172
741S,Apr,USC00012172
816S,May,USC00012172
870S,Jun,USC00012172
892S,Jul,USC00012172
890S,Aug,USC00012172
858S,Sep,USC00012172
778S,Oct,USC00012172
694S,Nov,USC00012172
616S,Dec,USC00012172
508Q,Jan,USC00012209
554Q,Feb,USC00012209
637Q,Mar,USC00012209
721Q,Apr,USC00012209
780Q,May,USC00012209
850Q,Jun,USC00012209
875Q,Jul,USC00012209
880Q,Aug,USC00012209
825Q,Sep,USC00012209
727Q,Oct,USC00012209
625Q,Nov,USC00012209
531Q,Dec,USC00012209
550S,Jan,USC00012245
594C,Feb,USC00012245
676C,Mar,USC00012245
752C,Apr,USC00012245
829C,May,USC00012245
885C,Jun,USC00012245
910S,Jul,USC00012245
905S,Aug,USC00012245
854S,Sep,USC00012245
761S,Oct,USC00012245
